ID,SMILES,P_act,STRENGTH,P_tox_0,P_tox_1,P_tox_2
T36821,CCOc1ccccc1C1CC(=O)Nc2cc3c(cc21)OCO3,0.67732245,0.12442333,0.36181805,0.050434105,0.5877478
T37094,CN1CCC[C@H]1COC(=O)c1ccccc1.Cl,0.6487668,0.085844904,0.16632873,0.015876774,0.81779444
T38095,CC(=O)N[C@H](C(=O)O)C(C)C,0.5834502,0.08626973,0.21893598,0.009391168,0.77167284
T38227,CCCCOc1ccc(C(=O)NN2C(=O)c3ccccc3NC2c2ccc(OC)cc2)cc1,0.9187994,0.30939928,0.29615733,0.31305948,0.39078322
T39689,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCc1ccccc1,0.52300745,0.030334014,0.1575584,0.0020245612,0.8404171
T40051,CC(C)CNC(=O)n1c(=O)oc2cc(C3CCN(C)CC3)ccc21,0.81187063,0.33604926,0.3139359,0.29965475,0.3864093
T22239,O=C(Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1)Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,0.86388105,0.14332947,0.2055661,0.08172177,0.7127121
T41265,Cl.Nc1nc2ccc(OC(F)(F)F)cc2s1,0.7238027,0.08628354,0.1900456,0.022439195,0.7875152
T61874,COc1cc(CN2CC(N)C2)cc(OC)c1-c1cn(C)c(=O)c2cc(F)ccc12,0.86864203,0.2759178,0.3365466,0.2208859,0.44256747
T62413,Cc1nc2ncccc2c(=O)n1-c1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1,0.89189816,0.2552228,0.3216067,0.19351201,0.48488134
T78526,CCCCCCCCSCC(C)C(=O)OCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC,0.48616055,0.11361165,0.32226846,0.031329334,0.64640224
T78558,Cc1nccnc1-c1nn2c(=O)cc(-c3ccc(C4CCCCC4)cc3)[nH]c2c1C(=O)N1CC(CF)C1,0.9651239,0.37864336,0.2213459,0.48812893,0.29052517
T79468,CCCCN1C(=O)C(=NNc2nccs2)c2ccccc21,0.7362447,0.28259823,0.3221755,0.23678651,0.441038
T83057,Cc1cc(C)n2nc(SCC(=O)N(C)c3c(N)n(Cc4ccccc4)c(=O)[nH]c3=O)nc2n1,0.7821036,0.17697546,0.37235132,0.083631836,0.54401684
T83867,NCCCCCCNC(=O)c1ccc(NC(=O)c2ccc(CN(C(=O)c3ccc4c(c3)OCC(=O)N4)C3CC3)cc2)cc1.O=C(O)C(F)(F)F,0.75153166,0.3296176,0.5694878,0.12949994,0.30101228
T72226L,CS(=O)(=O)Nc1cc([C@@H](O)CNCCCCCCCCCN2CCC(OC(=O)Nc3ccccc3-c3ccc(O)c(Cl)c3)CC2)ccc1O.Cl,0.77332973,0.31054616,0.31351578,0.12252557,0.5639586
T35399L,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O.CC(=O)O,0.4428578,0.37186417,0.6581402,0.024513137,0.31734663
T84371,CNC(=S)[C@@]1(c2cccnc2)CCCC[S@@]1=O,0.5952596,0.1446482,0.33357728,0.18995638,0.47646633
T82525L,CC(=O)O.CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O,0.43677118,0.44226077,0.6898565,0.027801098,0.28234243
T77696,CCCCCc1ccc(-c2cc(O)cc(O)c2)cc1,0.8079053,0.20483065,0.3799158,0.13785362,0.4822305
TP2509,Cc1cc(=O)oc2cc(NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)CCC(=O)O)ccc12,0.4835157,0.26620722,0.6543075,0.04712867,0.29856387
T72945,CCCN1CC(Oc2ccc([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3CC(C)(C)F)cc2)C1,0.85566413,0.29719737,0.32552978,0.18371731,0.49075294
T68729,O=C(/C=C/C=C/c1ccc(O)cc1)N1CCCCC1,0.48959836,0.1781787,0.48342147,0.108683005,0.4078955
T69535,C=CCn1ccc2c(C(=O)Oc3cncc(Cl)c3)cccc21,0.87971485,0.24598269,0.34177652,0.18768227,0.4705412
T72551,CCCCCN1CCN(c2ccc(S(=O)(=O)Oc3cc(OC)cc(OC)c3)cc2)C1=O,0.8501844,0.24272789,0.330011,0.19979402,0.4701949
T73746,CCn1nc(C)cc1C(=O)N=c1[nH]c2cc(C(N)=O)cc(OC)c2n1C/C=C/Cn1c(=NC(=O)c2cc(C)nn2CC)[nH]c2cc(C(N)=O)cc(OCCCN3CCOCC3)c21,0.81163615,0.3035484,0.36847818,0.22910708,0.40241477
T73176,CC(C)(O)[C@@H]1CCN(c2cc(-n3ncc4ccc([C@]5(C#N)CC56CC6)cc43)ncn2)C1,0.9089847,0.32182047,0.3414351,0.22079535,0.43776956
TQ0262,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,0.5031848,0.09144642,0.24911197,0.007921907,0.7429662
TN1464,CC(=O)OC[C@H]1O[C@@H](Oc2cc(O)cc3oc(-c4ccc(O)cc4)cc(=O)c23)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,0.38866335,0.12439267,0.6575143,0.014010396,0.32847524
T13830,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC.Cl,0.71203816,0.0862528,0.10475476,0.016137112,0.87910813
