Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900016),1/20,0.0089657734963174,0.0209201381580739,0,0,131.39473684210526,619.439581424405,PPARA
GO_Biological_Process_2023,Regulation Of Steroid Metabolic Process (GO:0019218),1/21,0.0094121824505319,0.021383818023577,0,0,124.81875,582.3731356633181,NR1H4
GO_Biological_Process_2023,Negative Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000378),1/21,0.0094121824505319,0.021383818023577,0,0,124.81875,582.3731356633181,PPARA
GO_Biological_Process_2023,Regulation Of Lipid Storage (GO:0010883),1/21,0.0094121824505319,0.021383818023577,0,0,124.81875,582.3731356633181,PPARG
GO_Biological_Process_2023,Placenta Development (GO:0001890),1/22,0.0098584127261176,0.0214565453450795,0,0,118.86904761904762,549.107257058779,PPARG
GO_Biological_Process_2023,Glucose Transmembrane Transport (GO:1904659),1/22,0.0098584127261176,0.0214565453450795,0,0,118.86904761904762,549.107257058779,PPARD
GO_Biological_Process_2023,Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404),1/22,0.0098584127261176,0.0214565453450795,0,0,118.86904761904762,549.107257058779,PPARG
GO_Biological_Process_2023,Modulation By Host Of Viral Process (GO:0044788),1/22,0.0098584127261176,0.0214565453450795,0,0,118.86904761904762,549.107257058779,FASN
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Efflux (GO:0010875),1/22,0.0098584127261176,0.0214565453450795,0,0,118.86904761904762,549.107257058779,PPARG
GO_Biological_Process_2023,Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903844),1/23,0.0103044643785071,0.0216980184880759,0,0,113.46022727272728,519.1007405544717,PPARG
GO_Biological_Process_2023,Regulation Of Cholesterol Metabolic Process (GO:0090181),1/23,0.0103044643785071,0.0216980184880759,0,0,113.46022727272728,519.1007405544717,NR1H4
GO_Biological_Process_2023,Cellular Lipid Catabolic Process (GO:0044242),1/23,0.0103044643785071,0.0216980184880759,0,0,113.46022727272728,519.1007405544717,PPARD
GO_Biological_Process_2023,Long-Chain Fatty Acid Transport (GO:0015909),1/23,0.0103044643785071,0.0216980184880759,0,0,113.46022727272728,519.1007405544717,PPARG
GO_Biological_Process_2023,Positive Regulation Of Interleukin-17 Production (GO:0032740),1/24,0.0107503374648081,0.0220979158998833,0,0,108.52173913043478,491.9093069362492,NR1H4
GO_Biological_Process_2023,Positive Regulation Of Lipid Metabolic Process (GO:0045834),1/24,0.0107503374648081,0.0220979158998833,0,0,108.52173913043478,491.9093069362492,PPARA
GO_Biological_Process_2023,Mononuclear Cell Differentiation (GO:1903131),1/24,0.0107503374648081,0.0220979158998833,0,0,108.52173913043478,491.9093069362492,PPARG
GO_Biological_Process_2023,Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903426),1/26,0.0116415481869311,0.0237414250426391,0,0,99.83,444.5604442545611,PPARA
GO_Biological_Process_2023,Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0061178),1/27,0.0120868859385031,0.0240807958313254,0,0,95.98557692307692,423.8371981703313,NR1H4
GO_Biological_Process_2023,Regulation Of SMAD Protein Signal Transduction (GO:0060390),1/27,0.0120868859385031,0.0240807958313254,0,0,95.98557692307692,423.8371981703313,PPARG
GO_Biological_Process_2023,Regulation Of Mitochondrial Fission (GO:0090140),1/27,0.0120868859385031,0.0240807958313254,0,0,95.98557692307692,423.8371981703313,PPARG
