name,smiles,max_tc,DrugCLIP_Target,DrugCLIP_Score,active_score,toxicity_score,recommend_score
T75319,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@@H](O)C2,0.413800,PPARG,0.494600,0.068857,0.588662,0.028323
T11515,[H][C@@]12C[C@H](OS(=O)(=O)[O-])CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)CF)[C@]1([H])[C@H](O)C2,0.413300,RXRG,0.270000,0.047613,0.727290,0.012985
T19526,Nc1ncnc2c1ncn2CCOC[P@@]1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,0.411100,GPAM,0.421400,0.122153,0.527507,0.057717
T78495,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CC(=O)O)[C@@]1(C)CC[C@@H](O)C2,0.410300,NR1H3,0.398400,0.040545,0.740805,0.010509
TJA2398,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)[O-])[C@@]1(C)CC[C@@H](O)C2,0.409100,PPARG,0.516600,0.050827,0.756064,0.012399
T37215,[H][C@@]12C[C@@H](O)[C@@]3(O)C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCCC(C)C,0.400000,PPARG,0.307900,0.056998,0.664793,0.019106
TN2349,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O][Na])CC[C@]43[H])[C@@]1(C)CC[C@@H](O)C2,0.395600,PPARG,0.501500,0.062568,0.624676,0.023483
T0408,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,0.388900,AOC3,0.325000,0.045803,0.749573,0.011470
T12220,CC(C)(C)c1ccc(OCC(=O)NCCNC(=O)COc2ccc(C(C)(C)C)cc2)cc1,0.380000,PPARG,0.261700,0.195002,0.572005,0.083460
T8754,Cc1c(-c2ncco2)sc2[nH]c(=O)n(C(C)(C)C(=O)OC(C)(C)C)c(=O)c12,0.365600,PPARG,0.399700,0.084990,0.744587,0.021708
T13518,[H][C@@]12C[C@H](O)[C@@]3([H])C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H](C(C)=O)CC[C@@]21[H],0.354800,NR1H3,0.336900,0.036549,0.834112,0.006063
T84225,[H][C@@]12C[C@H](O)[C@@]3([H])C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],0.339000,NR1H3,0.449500,0.036956,0.771111,0.008459
T13919,CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,0.333300,RXRG,0.330800,0.093811,0.707307,0.027458
T0516,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,0.311700,SCD,0.325400,0.041739,0.794188,0.008591
